Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
1,Record Type (H = File Header),1,1,Character,1,X,"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,H,string,String
2,File Name,2,23,Character,22,X(22),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,H,string,String
3,File Number,24,26,Numeric,3,9(3),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,H,Int64,Int64
4,File Correction Flag (Y/N),27,27,Character,1,X,"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,H,string,String
5,As-Of Date (CCYYMM),28,33,Numeric,6,9(6),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,H,Int64,Int64
6,Date File Generated (CCYYMMDD),34,41,Numeric,8,9(8),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,H,Int64,Int64
1,Record Type (P = Pool Header Information),1,1,Character,1,X,"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,P,string,String
2,CUSIP Number,2,10,Character,9,X(9),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,P,string,String
3,Pool ID,11,16,Character,6,X(6),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,P,string,String
4,Issue Type,17,17,Character,1,X,"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,P,string,String
5,Pool Type,18,19,Character,2,X(2),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,P,string,String
6,Pool Issue Date,20,27,Numeric,8,9(8),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,P,Int64,Int64
7,Issuer ID,28,31,Numeric,4,9(4),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,P,Int64,Int64
8,As-Of Date (CCYYMM),32,37,Numeric,6,9(6),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,P,Int64,Int64
1,Record Type (L),1,1,Character,1,X,"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,L,string,String
2,Pool ID,2,7,Character,6,X(6),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,L,string,String
3,Issuer ID,8,11,Numeric,4,9(4),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,L,Int64,Int64
4,Disclosure Sequence Number,12,21,Numeric,10,9(10),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,L,Int64,Int64
5,Sequence Number Suffix,22,24,Numeric,3,9(3),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,L,Int64,Int64
6,Property Type Code,25,25,Numeric,1,9,"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,L,,
7,Original Principal Limit,26,37,Numeric,12,9(10)v9(2),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,L,float64,Float64
8,Current Principal Limit,38,49,Numeric,12,9(10)v9(2),"hllmon1_HMBS PORTFOLIO - LOAN LEVEL, MONTHLY ADJUSTABLE Layout V1.0 (Jul 2013 - Jul 2013).pdf",2013-07-01,2013-07-01,L,float64,Float64
